ts_utc,open,high,low,close
1778562000,157.5850,157.7490,156.7070,157.3050
1778565600,157.3060,157.5260,157.0380,157.5060
1778569200,157.5080,157.5680,157.3850,157.5000
1778572800,157.5060,157.6570,157.4820,157.6170
1778576400,157.6120,157.6650,157.5330,157.5580
1778580000,157.5530,157.6150,157.4850,157.5490
1778583600,157.5490,157.6060,157.4930,157.5670
1778587200,157.5720,157.6440,157.5100,157.5480
1778590800,157.5510,157.6690,157.4760,157.6480
1778594400,157.6430,157.7010,157.5680,157.6170
1778598000,157.6240,157.7520,157.6050,157.7060
1778601600,157.7050,157.7640,157.6680,157.7490
1778605200,157.7450,157.7550,157.6680,157.6870
1778608800,157.6870,157.7230,157.5760,157.5880
1778612400,157.5850,157.6380,157.5130,157.6280
1778616000,157.6370,157.6600,157.5570,157.5980
1778619600,157.5990,157.6270,157.5220,157.5440
1778623200,157.5450,157.6200,157.5420,157.6020
1778626800,157.5870,157.6790,157.5540,157.6620
1778630400,157.6640,157.7700,157.6250,157.7060
1778634000,157.7070,157.7820,157.5560,157.6460
1778637600,157.6460,157.7290,157.5920,157.6530
1778641200,157.6500,157.6850,157.6180,157.6810
1778644800,157.6750,157.7520,157.6620,157.7140
1778648400,157.7120,157.7360,157.6780,157.6800
1778652000,157.6880,157.7880,157.6790,157.7670
1778655600,157.7630,157.8440,157.6690,157.8260
1778659200,157.8260,157.8430,157.7400,157.8050
1778662800,157.8010,157.8960,157.7780,157.8270
1778666400,157.8270,157.8550,157.7760,157.8140
1778670000,157.8060,157.8370,157.7370,157.7600
1778673600,157.7670,157.8980,157.7450,157.8400
1778677200,157.8470,157.8650,157.7510,157.7720
1778680800,157.7680,157.8960,157.7510,157.8620
1778684400,157.8630,157.8760,157.7680,157.8320
1778688000,157.8330,157.8620,157.7360,157.8490
1778691600,157.8490,157.9250,157.8250,157.9160
1778695200,157.9160,157.9240,157.8460,157.8920
1778698800,157.8880,157.9010,157.8270,157.8650
1778702400,157.8650,157.9040,157.8410,157.8440
1778706000,157.8460,157.8680,157.6540,157.8220
1778709600,157.8020,157.8420,157.7440,157.7760
1778713200,157.7970,157.8610,157.7470,157.8260
1778716800,157.8460,157.8730,157.7750,157.8480
1778720400,157.8480,157.9200,157.8160,157.9050
1778724000,157.9080,157.9500,157.8540,157.9200
1778727600,157.9160,157.9920,157.8880,157.9630
1778731200,157.9390,157.9740,157.4740,157.8350
1778734800,157.8610,157.9470,157.8320,157.8780
1778738400,157.9020,157.9170,157.7760,157.8390
1778742000,157.8410,157.9340,157.7870,157.9070
1778745600,157.9070,157.9470,157.8210,157.8980
1778749200,157.8940,157.9310,157.8530,157.8810
1778752800,157.8800,157.9400,157.8430,157.9260
1778756400,157.9260,157.9750,157.8790,157.9670
1778760000,157.9410,157.9930,157.8720,157.9630
1778763600,157.9420,158.1670,157.2660,157.8730
1778767200,157.9080,158.1560,157.8120,158.1460
1778770800,158.1560,158.1920,158.0460,158.0870
1778774400,158.0800,158.2010,158.0490,158.1630
1778778000,158.1630,158.1990,158.1030,158.1880
1778781600,158.1880,158.2030,158.1370,158.1820
1778785200,158.1820,158.3820,158.1370,158.3450
1778788800,158.3530,158.4190,158.3130,158.3420
1778792400,158.3350,158.3640,158.2500,158.3330
1778796000,158.3160,158.3940,158.2950,158.3640
1778799600,158.3620,158.4400,158.3130,158.3790
1778803200,158.3720,158.5140,158.3150,158.4690
1778806800,158.4700,158.5630,158.4170,158.5280
1778810400,158.5220,158.5880,158.4330,158.5250
1778814000,158.5190,158.5330,158.4680,158.4790
1778817600,158.4830,158.5240,158.4690,158.5110
1778821200,158.5100,158.6460,158.5100,158.6080
1778824800,158.6060,158.6740,158.4210,158.4260
1778828400,158.4320,158.4830,158.3440,158.4400
1778832000,158.4450,158.5760,158.3940,158.5590
1778835600,158.5670,158.6030,158.4510,158.5090
1778839200,158.5070,158.5350,158.2840,158.3670
1778842800,158.3560,158.5860,158.3500,158.5610
1778846400,158.5620,158.5860,158.5040,158.5740
1778850000,158.5680,158.7410,158.5180,158.6860
1778853600,158.6820,158.7440,158.5830,158.5910
1778857200,158.5900,158.7450,158.5450,158.6910
1778860800,158.6980,158.7340,158.6600,158.6980
1778864400,158.6990,158.7280,158.6370,158.7250
1778868000,158.7280,158.7510,158.6940,158.7040
1778871600,158.6980,158.7860,158.6880,158.7670
1778875200,158.7660,158.8450,158.7050,158.7310
1779058800,158.7730,158.8820,158.7540,158.8470
1779062400,158.8440,158.9540,158.7960,158.9330
1779066000,158.9280,158.9540,158.8560,158.9330
1779069600,158.9250,158.9480,158.8820,158.9080
1779073200,158.9070,159.0580,158.8980,159.0310
1779076800,159.0300,159.0730,158.7970,158.9820
1779080400,158.9830,159.0000,158.8950,158.9430
1779084000,158.9390,158.9530,158.8260,158.8850
1779087600,158.8840,158.9840,158.7990,158.9200
1779091200,158.9120,158.9330,158.7840,158.8260
1779094800,158.8190,158.9340,158.8170,158.9320
1779098400,158.9280,158.9530,158.8900,158.9230
1779102000,158.9220,158.9580,158.6710,158.8300
1779105600,158.8270,158.8440,158.6040,158.6840
1779109200,158.6830,158.7820,158.6360,158.7400
1779112800,158.7380,158.9160,158.7250,158.8420
1779116400,158.8350,158.9390,158.7920,158.8320
1779120000,158.8310,158.9450,158.7650,158.9340
1779123600,158.9340,158.9510,158.8820,158.9110
1779127200,158.9120,159.0780,158.9080,159.0690
1779130800,159.0750,159.0830,158.7970,158.8880
1779134400,158.8810,158.8870,158.7300,158.7800
1779138000,158.7840,158.8200,158.7150,158.7510
1779141600,158.7310,158.8320,158.7070,158.8160
1779145200,158.8160,158.8730,158.7950,158.8610
1779148800,158.8610,159.0200,158.8520,159.0120
1779152400,159.0130,159.0280,158.8850,158.9750
1779156000,158.9750,159.0060,158.9440,158.9600
1779159600,158.9580,158.9910,158.9200,158.9580
1779163200,158.9520,159.0060,158.9130,158.9840
1779166800,158.9840,159.0330,158.9440,158.9970
1779170400,158.9970,159.1120,158.9970,159.0700
