as_of_jst,forecast_batch_id,outcome_id,strategy_kind,forecast_direction,expected_close_change_bp,realized_direction,realized_close_change_bp,direction_hit,range_hit,state_proxy_hit,state_correctness_hit,close_error_bp,magnitude_error_bp,ai_regime_label,ai_volatility_label,ai_intervention_risk,ai_event_tags,ai_failure_reason,ai_annotation_confidence,ai_annotation_model_version,ai_annotation_prompt_version,ai_evidence_refs,ai_annotation_status,fallback_regime_label,fallback_volatility_label,regime_label,event_tags,manual_event_tags,auto_event_tags,effective_event_tags,event_tag_source,volatility_label,intervention_risk,failure_reason,annotation_source,annotation_status
2026-05-22T08:00:00+09:00,fb_USDJPY_20260522T080000_v1_bba5474b634b9928,oc_USDJPY_20260522T080000_20260525T080000_v1_6a33da218c261810,ugh_v2_delta,up,15.657839621446369,up,15.0990877634482,True,True,True,,0.5587518579981694,0.5587518579981694,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-05-22T08:00:00+09:00,fb_USDJPY_20260522T080000_v1_bba5474b634b9928,oc_USDJPY_20260522T080000_20260525T080000_v1_6a33da218c261810,ugh_v2_gamma,up,15.567383929692548,up,15.0990877634482,True,True,True,,0.46829616624434856,0.46829616624434856,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-05-25T08:00:00+09:00,fb_USDJPY_20260525T080000_v1_f88bbe5e10aa728a,oc_USDJPY_20260525T080000_20260526T080000_v1_b5050a0af0a299fc,baseline_prev_day_direction,up,15.0990877634482,down,-0.6293266205172642,False,,,,15.728414383965465,14.469761142930935,trending,low,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,low,low,,ai,confirmed
2026-05-25T08:00:00+09:00,fb_USDJPY_20260525T080000_v1_f88bbe5e10aa728a,oc_USDJPY_20260525T080000_20260526T080000_v1_b5050a0af0a299fc,baseline_random_walk,flat,0.0,down,-0.6293266205172642,False,,,,0.6293266205172642,0.6293266205172642,trending,low,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,low,low,,ai,confirmed
2026-05-25T08:00:00+09:00,fb_USDJPY_20260525T080000_v1_f88bbe5e10aa728a,oc_USDJPY_20260525T080000_20260526T080000_v1_b5050a0af0a299fc,baseline_simple_technical,up,38.66041776370885,down,-0.6293266205172642,False,,,,39.28974438422611,38.03109114319159,trending,low,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,low,low,,ai,confirmed
2026-05-25T08:00:00+09:00,fb_USDJPY_20260525T080000_v1_f88bbe5e10aa728a,oc_USDJPY_20260525T080000_20260526T080000_v1_b5050a0af0a299fc,ugh_v2_alpha,up,19.845038680797703,down,-0.6293266205172642,False,True,True,,20.47436530131497,19.21571206028044,trending,low,low,,direction_miss,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,low,low,direction_miss,ai,confirmed
2026-05-25T08:00:00+09:00,fb_USDJPY_20260525T080000_v1_f88bbe5e10aa728a,oc_USDJPY_20260525T080000_20260526T080000_v1_b5050a0af0a299fc,ugh_v2_beta,up,18.93112461040107,down,-0.6293266205172642,False,True,True,,19.560451230918336,18.301797989883806,trending,low,low,,direction_miss,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,low,low,direction_miss,ai,confirmed
2026-05-25T08:00:00+09:00,fb_USDJPY_20260525T080000_v1_f88bbe5e10aa728a,oc_USDJPY_20260525T080000_20260526T080000_v1_b5050a0af0a299fc,ugh_v2_delta,up,19.427262123900917,down,-0.6293266205172642,False,True,True,,20.056588744418182,18.797935503383652,trending,low,low,,direction_miss,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,low,low,direction_miss,ai,confirmed
2026-05-25T08:00:00+09:00,fb_USDJPY_20260525T080000_v1_f88bbe5e10aa728a,oc_USDJPY_20260525T080000_20260526T080000_v1_b5050a0af0a299fc,ugh_v2_gamma,up,18.324530389467206,down,-0.6293266205172642,False,True,True,,18.95385700998447,17.69520376894994,trending,low,low,,direction_miss,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,low,low,direction_miss,ai,confirmed
2026-05-26T08:00:00+09:00,fb_USDJPY_20260526T080000_v1_2b3b822cfce9611e,oc_USDJPY_20260526T080000_20260527T080000_v1_5bffac518d53db1f,baseline_prev_day_direction,down,-0.6293266205172642,up,25.174649128328134,False,,,,25.8039757488454,24.54532250781087,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-05-26T08:00:00+09:00,fb_USDJPY_20260526T080000_v1_2b3b822cfce9611e,oc_USDJPY_20260526T080000_20260527T080000_v1_5bffac518d53db1f,baseline_random_walk,flat,0.0,up,25.174649128328134,False,,,,25.174649128328134,25.174649128328134,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-05-26T08:00:00+09:00,fb_USDJPY_20260526T080000_v1_2b3b822cfce9611e,oc_USDJPY_20260526T080000_20260527T080000_v1_5bffac518d53db1f,baseline_simple_technical,up,38.1279743202986,up,25.174649128328134,True,,,,12.953325191970464,12.953325191970464,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-05-26T08:00:00+09:00,fb_USDJPY_20260526T080000_v1_2b3b822cfce9611e,oc_USDJPY_20260526T080000_20260527T080000_v1_5bffac518d53db1f,ugh_v2_alpha,up,14.194484220971784,up,25.174649128328134,True,True,False,,10.98016490735635,10.98016490735635,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-05-26T08:00:00+09:00,fb_USDJPY_20260526T080000_v1_2b3b822cfce9611e,oc_USDJPY_20260526T080000_20260527T080000_v1_5bffac518d53db1f,ugh_v2_beta,up,11.52382976252239,up,25.174649128328134,True,True,False,,13.650819365805745,13.650819365805745,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
2026-05-26T08:00:00+09:00,fb_USDJPY_20260526T080000_v1_2b3b822cfce9611e,oc_USDJPY_20260526T080000_20260527T080000_v1_5bffac518d53db1f,ugh_v2_delta,up,13.040866833739694,up,25.174649128328134,True,True,False,,12.13378229458844,12.13378229458844,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,,,trending,,,,,none,normal,low,,ai,confirmed
